Date,Transaction_Type,Category,Amount,Customer_ID,Device,Status
2024-01-01,Order,Electronics,245.50,C001,Mobile,Completed
2024-01-01,Return,Clothing,45.00,C002,Desktop,Completed
2024-01-02,Order,Electronics,567.80,C003,Mobile,Completed
2024-01-02,Order,Home,123.45,C004,Tablet,Completed
2024-01-03,Order,Electronics,345.60,C005,Mobile,Completed
2024-01-03,Order,Clothing,89.99,C006,Desktop,Completed
2024-01-04,Order,Books,34.50,C007,Mobile,Completed
2024-01-04,Order,Electronics,456.70,C008,Mobile,Completed
2024-01-05,Order,Beauty,67.80,C009,Desktop,Completed
2024-01-05,Order,Electronics,234.50,C010,Mobile,Completed
2024-01-06,Order,Home,123.40,C011,Mobile,Completed
2024-01-06,Return,Electronics,100.00,C012,Desktop,Completed
2024-01-07,Order,Clothing,78.90,C013,Mobile,Completed
2024-01-07,Order,Electronics,567.80,C014,Mobile,Completed
2024-01-08,Order,Books,45.30,C015,Tablet,Completed
2024-01-08,Order,Beauty,89.99,C016,Desktop,Completed
2024-01-09,Order,Electronics,678.90,C017,Mobile,Completed
2024-01-09,Order,Home,234.50,C018,Mobile,Completed
2024-01-10,Order,Clothing,123.45,C019,Mobile,Completed
2024-01-10,Order,Electronics,456.70,C020,Desktop,Completed
2024-01-11,Order,Beauty,67.80,C021,Mobile,Completed
2024-01-11,Return,Books,30.00,C022,Desktop,Completed
2024-01-12,Order,Home,345.60,C023,Mobile,Completed
2024-01-12,Order,Electronics,789.00,C024,Mobile,Completed
2024-01-13,Order,Clothing,98.50,C025,Mobile,Completed
2024-01-13,Order,Books,56.70,C026,Tablet,Completed
2024-01-14,Order,Beauty,45.30,C027,Desktop,Completed
2024-01-14,Order,Electronics,234.50,C028,Mobile,Completed
2024-01-15,Order,Home,123.45,C029,Mobile,Completed
2024-02-01,Order,Electronics,345.60,C030,Mobile,Completed
2024-02-02,Order,Clothing,89.99,C031,Desktop,Completed
2024-02-02,Order,Beauty,156.70,C032,Mobile,Completed
2024-02-03,Order,Electronics,567.80,C033,Mobile,Completed
2024-02-03,Return,Home,75.00,C034,Desktop,Completed
2024-02-04,Order,Books,34.50,C035,Mobile,Completed
2024-02-04,Order,Electronics,456.70,C036,Mobile,Completed
2024-02-05,Order,Clothing,123.45,C037,Tablet,Completed
2024-02-05,Order,Beauty,89.99,C038,Desktop,Completed
2024-02-06,Order,Home,234.50,C039,Mobile,Completed
2024-02-06,Order,Electronics,678.90,C040,Mobile,Completed
